Date,SN,Open,High,Low,Close,Adj Close,Volume,live,KI,KO,accumulation,BQty,BAt,BWhen,SQty,SAt,SWhen,BCF,SCF,CumQty,CumCF
2022-09-23,80,110.050003,110.339996,107.160004,109.139999,106.54287,18138600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-26,81,108.0,109.610001,106.059998,106.790001,104.248787,15753600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-27,82,107.75,108.169998,104.650002,105.849998,103.331161,12793600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-28,83,105.949997,108.730003,105.639999,107.989998,105.420227,12762600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-29,84,106.949997,107.279999,104.400002,106.160004,103.633781,12713900,True,True,False,True,4,107.279999,True,4,104.400002,False,-429.119996,False,4,-429.119996
2022-09-30,85,106.059998,107.620003,104.400002,104.5,102.013275,15973400,True,True,False,True,4,107.620003,False,4,104.400002,True,False,417.600008,4,-11.519988000000012
2022-10-03,86,105.620003,108.360001,104.459999,107.730003,105.166428,12248100,True,True,False,True,4,108.360001,False,4,104.459999,True,False,417.839996,4,406.320008
2022-10-04,87,110.610001,112.989998,109.860001,112.769997,110.086479,16013600,True,True,False,True,3,112.989998,False,3,109.860001,True,False,329.580003,4,735.900011
2022-10-05,88,109.75,110.949997,108.830002,110.389999,108.72728,10943500,True,True,False,True,3,110.949997,True,3,108.830002,False,-332.849991,False,7,403.05001999999996
2022-10-06,89,109.459999,110.190002,107.940002,108.139999,106.511162,11521400,True,True,False,True,3,110.190002,True,3,107.940002,False,-330.57000600000003,False,10,72.48001399999993
2022-10-07,90,107.519997,107.709999,105.269997,105.980003,104.383705,11681100,True,True,False,True,3,107.709999,True,3,105.269997,False,-323.129997,False,13,-250.64998300000008
2022-10-10,91,106.730003,107.309998,104.519997,104.989998,103.408607,8931700,True,True,False,True,3,107.309998,True,3,104.519997,False,-321.92999399999997,False,16,-572.5799770000001
2022-10-11,92,104.370003,104.540001,101.849998,101.959999,100.424248,12739700,True,True,False,True,4,104.540001,False,4,101.849998,True,False,407.399992,16,-165.1799850000001
2022-10-12,93,101.800003,104.730003,101.279999,103.610001,102.0494,13181000,True,True,False,True,9,104.730003,False,9,101.279999,True,False,911.519991,16,746.3400059999999
2022-10-13,94,101.980003,109.900002,101.760002,109.370003,107.722641,22398700,True,True,False,True,5,109.900002,True,5,101.760002,False,-549.50001,False,21,196.83999599999993
2022-10-14,95,111.959999,115.239998,110.720001,111.190002,109.515228,33387100,True,True,False,True,3,115.239998,False,3,110.720001,True,False,332.16000299999996,21,528.9999989999999
2022-10-17,96,115.410004,117.010002,114.32,115.860001,114.114883,22276300,True,True,False,True,4,117.010002,True,4,114.32,False,-468.040008,False,25,60.95999099999989
2022-10-18,97,119.660004,120.139999,116.959999,118.839996,117.049995,21539700,True,True,False,True,4,120.139999,True,4,116.959999,False,-480.559996,False,29,-419.6000050000001
2022-10-19,98,117.989998,118.830002,115.669998,116.510002,114.755096,17072000,True,True,False,True,4,118.830002,True,4,115.669998,False,-475.320008,False,33,-894.9200130000002
2022-10-20,99,117.160004,118.709999,115.650002,116.129997,114.380814,12207400,True,True,False,True,7,118.709999,False,7,115.650002,True,False,809.550014,33,-85.36999900000012
2022-10-21,100,116.459999,122.389999,116.330002,122.230003,120.388939,20593300,True,True,False,True,2,122.389999,False,2,116.330002,True,False,232.660004,33,147.29000499999987
2022-10-24,101,122.07,123.099998,121.330002,122.379997,120.536674,12624200,True,True,False,True,3,123.099998,False,3,121.330002,True,False,363.990006,33,511.28001099999983
2022-10-25,102,121.849998,123.269997,120.889999,122.699997,120.85186,11289100,True,True,False,True,3,123.269997,False,3,120.889999,True,False,362.669997,33,873.9500079999998
2022-10-26,103,123.0,125.199997,122.879997,124.110001,122.240623,11667000,True,True,False,True,2,125.199997,True,2,122.879997,False,-250.399994,False,35,623.5500139999998
2022-10-27,104,125.199997,126.199997,124.209999,124.599998,122.723244,10727600,True,True,False,True,3,126.199997,False,3,124.209999,True,False,372.629997,35,996.1800109999998
2022-10-28,105,125.290001,126.279999,124.050003,126.080002,124.180946,11859500,True,True,False,True,2,126.279999,False,2,124.050003,True,False,248.100006,35,1244.2800169999998
2022-10-31,106,125.699997,127.43,125.589996,125.879997,123.983955,13295200,True,True,False,True,2,127.43,False,2,125.589996,True,False,251.179992,35,1495.460009
2022-11-01,107,126.870003,128.279999,126.330002,128.149994,126.219765,13386900,True,True,False,True,4,128.279999,True,4,126.330002,False,-513.119996,False,39,982.3400129999999
2022-11-02,108,127.650002,130.360001,126.639999,126.970001,125.057541,16546100,True,True,False,True,3,130.360001,False,3,126.639999,True,False,379.919997,39,1362.26001
2022-11-03,109,126.309998,128.179993,125.910004,127.199997,125.284073,12474400,True,True,False,True,3,128.179993,False,3,125.910004,True,False,377.730012,39,1739.990022
2022-11-04,110,129.490005,130.830002,128.460007,130.679993,128.711655,14953200,True,True,False,True,2,130.830002,False,2,128.460007,True,False,256.920014,39,1996.910036
2022-11-07,111,131.0,132.289993,130.479996,131.369995,129.391266,12011200,True,True,False,True,2,132.289993,False,2,130.479996,True,False,260.959992,39,2257.870028
2022-11-08,112,131.240005,132.059998,130.139999,131.449997,129.470062,9884100,True,True,False,True,3,132.059998,True,3,130.139999,False,-396.179994,False,42,1861.6900339999997
2022-11-09,113,131.320007,131.429993,129.220001,129.740005,127.785828,9494000,True,True,False,True,3,131.429993,False,3,129.220001,True,False,387.66000299999996,42,2249.3500369999997
2022-11-10,114,132.630005,135.25,132.529999,135.080002,133.045395,16351600,True,True,False,True,3,135.25,False,3,132.529999,True,False,397.58999700000004,42,2646.9400339999997
2022-11-11,115,135.190002,136.169998,133.779999,135.300003,133.26207,10704700,True,True,False,True,2,136.169998,True,2,133.779999,False,-272.339996,False,44,2374.6000379999996
2022-11-14,116,134.800003,135.729996,133.910004,133.910004,131.893021,11085600,True,True,False,True,5,135.729996,True,5,133.910004,False,-678.64998,False,49,1695.9500579999994
2022-11-15,117,134.679993,135.710007,131.600006,132.940002,130.937622,14038300,True,True,False,True,2,135.710007,False,2,131.600006,True,False,263.200012,49,1959.1500699999995
2022-11-16,118,133.0,133.559998,132.029999,133.119995,131.114914,7893400,True,True,False,True,2,133.559998,False,2,132.029999,True,False,264.059998,49,2223.2100679999994
2022-11-17,119,132.0,132.889999,131.279999,132.539993,130.54364,8820200,True,True,False,True,3,132.889999,True,3,131.279999,False,-398.66999699999997,False,52,1824.5400709999994
2022-11-18,120,134.570007,134.669998,132.279999,133.839996,131.824066,9468500,True,True,False,True,2,134.669998,True,2,132.279999,False,-269.339996,False,54,1555.2000749999995
2022-11-21,121,133.740005,134.559998,132.75,133.050003,131.045959,7800500,True,True,False,True,2,134.559998,False,2,132.75,True,False,265.5,54,1820.7000749999995
